  STN,YYYYMMDD,TX,SQ
  269,20140117,   87,    0
  269,20140118,   92,   34
  269,20140119,   75,   20
  269,20140120,   56,    0
  269,20140121,   43,    0
  269,20140122,   48,    8
  269,20140123,   46,    0
  269,20140124,   52,    5
  269,20140125,   58,    0
  269,20140126,   63,   25
  269,20140127,   57,   19
  269,20140128,   72,   59
  269,20140129,   18,    0
  269,20140130,   21,   31
  269,20140131,   62,   70
  269,20140201,   81,    5
  269,20140202,   78,   61
  269,20140203,   76,   80
  269,20140204,   93,   44
  269,20140205,   99,   44
  269,20140206,   98,   33
  269,20140207,   99,    0
  269,20140208,   87,    2
  269,20140209,   71,    3
  269,20140210,   74,   11
  269,20140211,   78,   25
  269,20140212,   89,   49
  269,20140213,   73,    6
  269,20140214,   94,   30
  269,20140215,  125,   23
  269,20140216,   89,   54
  269,20140217,   97,   23
  269,20140218,   84,    0
  269,20140219,   99,   11
  269,20140220,   99,    5
  269,20140221,   95,   45
  269,20140222,   99,   37
  269,20140223,  111,   68
  269,20140224,  121,   83
  269,20140225,  112,   23
  269,20140226,  108,   44
  269,20140227,   84,   21
  269,20140228,   80,   19
  269,20140301,   79,   26
  269,20140302,   97,   79
  269,20140303,   82,   14
  269,20140304,  111,   66
  269,20140305,  115,   55
  269,20140306,  127,   38
  269,20140307,  118,   14
  269,20140308,  157,   90
  269,20140309,  188,  101
  269,20140310,  157,  101
  269,20140311,  141,   73
  269,20140312,  159,  105
  269,20140313,  150,  105
  269,20140314,  111,   40
  269,20140315,  115,   62
  269,20140316,  120,   39
  269,20140317,  115,    0
  269,20140318,  109,    1
  269,20140319,  140,   70
  269,20140320,  202,  110
  269,20140321,  110,   26
  269,20140322,  103,   49
  269,20140323,  102,   71
  269,20140324,   96,   96
  269,20140325,  110,  102
  269,20140326,   95,   64
  269,20140327,  133,   95
  269,20140328,  162,  110
  269,20140329,  190,  103
  269,20140330,  195,   69
  269,20140331,  189,   65
  269,20140401,  194,   70
  269,20140402,  192,   66
  269,20140403,  208,   79
  269,20140404,  137,    0
  269,20140405,  172,   51
  269,20140406,  163,    1
  269,20140407,  207,   35
  269,20140408,  133,   63
  269,20140409,  136,   91
  269,20140410,  143,    3
  269,20140411,  150,   93
  269,20140412,  149,   67
  269,20140413,  124,   78
  269,20140414,  112,   79
  269,20140415,  100,   83
  269,20140416,  148,  130
  269,20140417,  170,   43
  269,20140418,  116,   50
  269,20140419,  160,  101
  269,20140420,  211,  112
  269,20140421,  138,    1
  269,20140422,  174,   89
  269,20140423,  195,   72
  269,20140424,  209,   36
  269,20140425,  218,   81
  269,20140426,  180,   48
  269,20140427,  135,    7
  269,20140428,  148,    0
  269,20140429,  160,   29
  269,20140430,  184,   42
  269,20140501,  166,   41
  269,20140502,  126,    5
  269,20140503,  130,  133
  269,20140504,  130,   71
  269,20140505,  191,   92
  269,20140506,  183,   34
  269,20140507,  164,   44
  269,20140508,  143,    1
  269,20140509,  154,   35
  269,20140510,  147,   20
  269,20140511,  121,   15
  269,20140512,  147,   64
  269,20140513,  137,  121
  269,20140514,  131,   78
  269,20140515,  144,   76
  269,20140516,  171,  145
  269,20140517,  195,  131
  269,20140518,  222,  142
  269,20140519,  245,  137
  269,20140520,  270,   77
  269,20140521,  223,   43
  269,20140522,  224,   80
  269,20140523,  202,   42
  269,20140524,  201,   74
  269,20140525,  210,  134
  269,20140526,  219,    9
  269,20140527,  194,    7
  269,20140528,  148,    0
  269,20140529,  125,    7
  269,20140530,  169,   68
  269,20140531,  181,  140
  269,20140601,  176,  105
  269,20140602,  195,  108
  269,20140603,  203,   66
  269,20140604,  191,   20
  269,20140605,  171,   47
  269,20140606,  216,  143
  269,20140607,  276,   80
  269,20140608,  234,   80
  269,20140609,  268,   76
